model,clip,ground_truth,hypothesis,wer,latency_s
tiny.en,3576-138058-0000,master and man dismounted from their beasts and as soon as they had settled themselves at the foot of the trees sancho who had had a good noontide meal that day let himself without more ado pass the gates of sleep,"Master and man dismounted from their beasts, and as soon as they had settled themselves at the foot of the trees, Sancho, who had had a good noon-time meal that day, let himself, without Mora-doo, passed the gates of sleep.",0.0976,0.1343
tiny.en,2428-83705-0032,but why on that account they should pity me i altogether fail to understand,But why on that account they should pity me I altogether fail to understand.,0.0000,0.0410
tiny.en,2078-142845-0012,it has been introduced into italy where they make a coarse bread from it and it is also employed in pastry and puddings they also use it for feeding horses and domestic fowls,It has been introduced into Italy where they make a coarse bread from it. And it is also employed in pastry and puttings. They also use it for feeding horses and domestic fowls.,0.0303,0.0823
tiny.en,3752-4943-0023,but kirkland kept steadily on for the river,But Kirkland kept steadily on for the river.,0.0000,0.0336
tiny.en,2078-142845-0015,mode boil the rice in water until it is quite tender pour off the water and put the rice before it is cold to the flour,Mode. Boil the rice and water until it is quite tender. Pour off the water and put the rice before it is cold to the flour.,0.0385,0.0704
tiny.en,2277-149874-0008,then she walked and sang to it until hanson disturbed in his reading came and took it,"Then she walked in saying to it until Hanson, disturbed in his reading, came and took it.",0.1176,0.0468
tiny.en,3081-166546-0041,what do you make of it gryce,"What do you make of it, Grace?",0.1429,0.0299
tiny.en,3752-4944-0052,north knew well that he would never dare to attempt any such act of violence but the insult stung him like the cut of a whip,"North knew well that he would never dare to attempt any such active violence, but the insults stung him like the cut of a whip.",0.1154,0.0622
tiny.en,2277-149896-0009,while the danger had not lessened it had not as yet materialised and with him no news was good news,"While the danger had not listened, it had not as yet materialized, and with him no news was good news.",0.1000,0.0514
tiny.en,2078-142845-0035,sufficient allow two crumpets to each person,"sufficient, allow two crepets to each person.",0.1429,0.0395
tiny.en,2277-149897-0035,very truly yours et cetera compromise,"very truly yours, etc. Compromise.",0.3333,0.0433
tiny.en,6313-66129-0021,it was a beautiful race the little indian ponies seeming to enter thoroughly into the spirit of the contest stretching themselves out to their full lengths and with heads on a level with their backs fairly flew across the great plot of green,"It was a beautiful race, but little Indian ponies sent me to enter thoroughly into the spirit of the contest, stretching themselves out to their full lengths, and with heads on a level with their backs fairly flew across the Great Plot of Green.",0.0698,0.1203
tiny.en,6345-64257-0016,the old time was but a thicker dream and this is truer because more shadowy,The old time was but a thicker dream and this is truer because more shadowy,0.0000,0.0422
tiny.en,251-118436-0009,the slant of the moon presaged evil for the king of vendhya the stars are in turmoil the serpent in the house of the elephant,"The slant of the moon pressaged evil for the king of Vendya. The stars are in turmoil, the serpent in the house of the elephant.",0.0800,0.0745
tiny.en,3752-4943-0029,i won't have my men knocked up with flogging these rascals,I won't have my men knocked up with flogging these rascals.,0.0000,0.0416
tiny.en,8842-302203-0003,when being aroused i opened mine eyes and knew that it had been a deception,"When being aroused, I opened my eyes and knew that it had been a deception.",0.0667,0.0605
tiny.en,8297-275155-0018,and the captain of course concluded after having been introduced to kitty that missus norman was a widow,And the captain of course concluded after having been introduced to Kitty that Mrs. Norman was a widow.,0.0556,0.0729
tiny.en,5338-24640-0003,mister morton seemed particularly struck with the account of waverley's visit to donald bean lean,Mr. Morton seemed to particularly struck with the account of way release visit to Donald being lean.,0.3333,0.0501
tiny.en,1988-148538-0000,in aristocratic communities the people readily give themselves up to bursts of tumultuous and boisterous gayety which shake off at once the recollection of their privations the natives of democracies are not fond of being thus violently broken in upon and they never lose sight of their own selves without regret,"In aristocratic communities, the people readily give themselves up to bursts of tumultuous and boisterous gaitie, which shake of at once the recollection of their privations. The natives of democracies are not fond of being thus violently broken in upon, and they never lose sight of their own selves without regret.",0.0392,0.1450
tiny.en,6295-244435-0015,colonel kenton writes wisely,Colonel Kenton writes wisely.,0.0000,0.0258
tiny.en,7850-281318-0011,the magpie said she would teach them if they would be a patient diligent obedient class of little birds,The Magpie said she would teach them if they would be a patient diligent obedient class of little birds.,0.0000,0.0579
tiny.en,777-126732-0066,there was no young man of his age in london more willing and docile than stephen she affirmed none more affectionate and ready to please and even useful as long as people did not upset his poor head,"There was no young man of his age in London more willing and docile than Stephen, she affirmed. None more affectionate and ready to please, and even useful as long as people did not upset his poor head.",0.0000,0.0938
tiny.en,251-118436-0011,all discarded portions of the human body still remain part of it attached to it by intangible connections,"All discarded portions of the human body still remain part of it, attached to it by intangible connections.",0.0000,0.0448
tiny.en,1462-170142-0021,could you could you sit down and talk about it quietly bartley as if i were a friend and not some one who had to be defied,"Could you sit down and talk about it quietly, partly, as if I were a friend and not someone who had to be defied?",0.1852,0.0578
tiny.en,1462-170138-0021,he bowed as the warning bell rang and mainhall whispered you know lord westmere of course the stooped man with the long gray mustache talking to lady dowle,"He bowed as the warning bell rang, and Main Hall whispered, you know, Lord Westmere, of course, the stooped man with the long grey mustache talking to Lady Dowl.",0.1429,0.0771
tiny.en,2428-83705-0003,it is most delightful,It is most delightful.,0.0000,0.0246
tiny.en,3081-166546-0045,this sweetwater as they called him was i have since understood one of his proteges and more or less of a favourite,"This sweet water, as they called him, was, I have since understood, one of his produce jays and more or less of a favorite.",0.2273,0.0805
tiny.en,84-121123-0012,the old man's eyes remained fixed on the door,The old man's eyes remained fixed on the door.,0.0000,0.0395
tiny.en,5895-34615-0009,no one could escape from this rictus,No one could escape from this rictus.,0.0000,0.0422
tiny.en,5338-24615-0005,this avenue was straight and of moderate length running between a double row of very ancient horse chestnuts planted alternately with sycamores which rose to such huge height and nourished so luxuriantly that their boughs completely over arched the broad road beneath,"This avenue was straight and of moderate length, running between a double row, a very ancient horse chestnuts. Planted alternately with sycamores, which rose to such huge heights, and nourished so luxuriantly that their bow's completely over-arched the broad road beneath.",0.1190,0.1760
tiny.en,2086-149220-0028,phoebe merely glanced at it and gave it back,Phoebe Merley-Glance did it and gave it back.,0.3333,0.0515
tiny.en,3752-4944-0054,i'll show you who's master here my good sir,"I'll show you who's master here, my good sir.",0.0000,0.0363
tiny.en,1673-143397-0009,but the vatican received with open arms the messengers of egypt,But the Vatican received with open arms the messengers of Egypt.,0.0000,0.0354
tiny.en,1993-147965-0001,morning prayers were longer than usual,Morning prayers were longer than usual.,0.0000,0.0268
tiny.en,3000-15664-0034,thus the shasta river issues from a large lake like spring in shasta valley and about two thirds of the volume of the mc cloud gushes forth in a grand spring on the east side of the mountain a few miles back from its immediate base,"Thus, the Shasta River issues from a large lake-like spring in Shasta Valley, and about two-thirds of the volume of the McLeod gushes forth in a grand spring on the east side of the mountain, a few miles back from its immediate base.",0.1304,0.1208
tiny.en,2086-149220-0022,if you would permit me said the artist looking at phoebe i should like to try whether the daguerreotype can bring out disagreeable traits on a perfectly amiable face,"If you would permit me, said the artist, looking at Phoebe, I should like to try whether the Daguerro type can bring out disagreeable traits on a perfectly amiable face.",0.0690,0.0825
tiny.en,3170-137482-0019,i picked it up and coming up to him just as he was going down the steps i handed it to him,"I picked it up and coming up to him just as he was going down the steps, I handed it to him.",0.0000,0.0494
tiny.en,6241-61943-0004,but no ghost or anything else appeared upon the ancient walls,But no ghost or anything else appeared upon the ancient walls.,0.0000,0.0355
tiny.en,7850-286674-0011,but sometimes he straightens the joint and holds his lip out before him and then its pincers catch hold of things he does this when he is hungry,"But sometimes he straightens the joint and holds his lip out before him, and then it's pincers catch hold of things. He does this when he is hungry.",0.0357,0.0710
tiny.en,174-168635-0000,he had never been father lover husband friend,"He had never been father, lover, husband, friend.",0.0000,0.0334
tiny.en,5895-34629-0016,even this comedian of jaws and claws was eclipsed in success,Even this comedian of Jaws and Claws was eclipsed in success.,0.0000,0.0369
tiny.en,1272-135031-0022,true agreed kaliko,"True, agreed calico.",0.3333,0.0257
tiny.en,7976-105575-0017,i could not help my friend,I could not help my friend.,0.0000,0.0267
tiny.en,1919-142785-0057,the fat they are fried in should be clear and the crumbs should not have the slightest appearance or taste of having been in the least degree burnt,The fat there fried in should be clear and the crumbs should not have the slightest appearance or taste of having been in the least degree burnt.,0.0714,0.0553
tiny.en,3170-137482-0011,the waiter of the magazzino came to be paid and our chief gave him what was due enjoining silence under penalty of death,"The waiter of the magazine came to be paid, and our chief gave him what was due, in joining silence under penalty of death.",0.1304,0.0567
tiny.en,7850-281318-0015,i thought that was the way to begin,I thought that was the way to begin.,0.0000,0.0350
tiny.en,1462-170142-0017,i get nothing but misery out of either,I get nothing but misery out of either.,0.0000,0.0294
tiny.en,6241-61943-0007,at all events we shall get there some day,At all events we shall get there someday.,0.2222,0.0295
tiny.en,777-126732-0056,the light thrown down by the shade fell dazzlingly on the white pillow sunk by the weight of her head reposing with closed eyes and dark hair done up in several plaits for the night,The light thrown down by the shade fell dazzlingly on the white pillow sunk by the weight overhead reposing with closed eyes and dark hair done up in several plates for the night.,0.1143,0.0747
tiny.en,6345-93306-0019,you see papa's so very rich and at home they expect me to to get acquainted with dukes and things and she stopped,"You see, Papazzo very rich, and at home they expect me to get acquainted with dukes and things and she stopped.",0.1304,0.0863
tiny.en,5536-43359-0002,the ordeal is best met alone where no curious or pitying eyes embarrass her where all nature says to her spirit tis love tis love the fulfilling of life,"The ordeal is best met alone. Where no curious or pitting eyes embarrass her, where all nature says to her spirit, to love, to love, the fulfilling of life.",0.1034,0.0779
tiny.en,251-137823-0017,anyhow we want to help got a job for us,"Anyhow, we want to help. Got a job for us?",0.0000,0.0402
tiny.en,7976-105575-0002,our brigade was fearfully outnumbered,Our brigade was fearfully outnumbered.,0.0000,0.0270
tiny.en,8297-275154-0017,oh why did i engage that governess,"Oh, why did I engage that governess?",0.0000,0.0312
tiny.en,3576-138058-0033,at this instant one or two of those squires who were posted as sentinels on the roads to watch who came along them and report what passed to their chief came up and said senor there is a great troop of people not far off coming along the road to barcelona,"At this instant, one or two of those squires who were posted as sentinels on the roads to watch who came along them and report what passed to their chief came up and said, Senor, there is a great troop of people not far off coming along the road to Barcelona.",0.0000,0.1904
tiny.en,1462-170142-0035,oh bartley what am i to do,"Oh, Bartley, what am I to do?",0.0000,0.0311
tiny.en,84-121123-0002,at this moment the whole soul of the old man seemed centred in his eyes which became bloodshot the veins of the throat swelled his cheeks and temples became purple as though he was struck with epilepsy nothing was wanting to complete this but the utterance of a cry,"At this moment, the whole soul of the old man seemed centered in his eyes which became bloodshot. The veins of the throat swelled, his cheeks and temples became purple as though he was struck with epilepsy. Nothing was wanting to complete this but the utterance of a cry.",0.0204,0.1482
tiny.en,5694-64029-0032,our pickets had run in and reported a night attack,Our pickets had run in and reported the night attack.,0.1000,0.0335
tiny.en,174-84280-0009,we never planned to meet and when we met,We never planned to meet and when we met.,0.0000,0.0309
tiny.en,5694-64029-0006,says he i would not trust a secesh on his word oath or bond march i say,"Says he, I would not trust a success on his word oath or bond. March, I say.",0.0588,0.0493
tiny.en,6319-57405-0011,surely i do not know said deucalion,"Surely I do not know,"" said DuCalian.",0.1429,0.0412
tiny.en,6345-93306-0010,he had no time to think but he was aware that this was the most exciting adventure that had ever happened to him,"He had no time to think, but he was aware that this was the most exciting adventure that had ever happened to him.",0.0000,0.0529
tiny.en,1988-148538-0012,they therefore entertain a calm sense of their superiority they do not dream of vaunting privileges which everyone perceives and no one contests and these things are not sufficiently new to them to be made topics of conversation,"They therefore entertain a calm sense of their superiority. They do not dream of founting privileges which everyone perceives, at no one contests. And these things are not sufficiently new to them to be made topics of conversation.",0.0526,0.1240
tiny.en,2428-83699-0036,the information was greeted with what sounded uncommonly like a chorus of laughter,The information was greeted with what sounded uncommonly like a chorus of laughter.,0.0000,0.0563
tiny.en,777-126732-0047,loafing was all very well for these fellows who knew not mister vladimir and had women to fall back upon whereas he had a woman to provide for,"Lothing was all very well for these fellows who knew not Mr. Vladimir and had women to fall back upon, whereas he had a woman to provide for.",0.0714,0.0687
tiny.en,1462-170145-0009,oh bartley did you write to me,"Oh, Bartley, did you write to me?",0.0000,0.0449
tiny.en,6295-64301-0021,i love thee i love thee cried the violin and the worship was entreaty that knew not itself,"I love the, I love the cried the violin. And the worship was in treaty that knew not itself.",0.2222,0.1067
tiny.en,652-130726-0002,one of his waiters phil tyson was one of the earlier ones to go back into the burned district to begin business and he opened a restaurant called the del monte in powell street near market but it was too early for success and closed after a short career,"One of his waiters, Phil Tyson, was one of the earlier ones to go back into the burn district to begin business. And he opened a restaurant called the Del Monte in Powell Street near market. But it was too early for success and closed after a short career.",0.0204,0.1199
tiny.en,2412-153954-0012,the country was highly cultivated every ledge being planted with chestnuts walnuts and apple trees from which the apples were now gathering,"The country was highly cultivated every ledge being planted with chestnuts, walnuts, and apple trees, from which the apples were now gathering.",0.0000,0.0560
tiny.en,422-122949-0011,the most varied experience teaches it what are the qualities to which it principally owes the fact that it still exists in spite of all gods and men and has hitherto been victorious these qualities it calls virtues and these virtues alone it develops to maturity,"The most varied experience teaches it what are the qualities to which it principally owes the fact that it still exists, in spite of all gods and men and his hitherto-bend victorious. These qualities, it calls virtues, and these virtues alone, it develops to maturity.",0.0652,0.1796
tiny.en,1462-170142-0008,when did you come bartley and how did it happen you haven't spoken a word,"When did you come, Bartley? And how did it happen? You haven't spoken a word.",0.0000,0.0454
tiny.en,2035-147961-0022,the shrieks that followed made everybody sober,The shrieks that followed made everybody sober.,0.0000,0.0300
tiny.en,84-121550-0002,thou makest me remember where and what proserpina that moment was when lost her mother her and she herself the spring,That'll make us remember where and what Pro subpoena that moment was when lost her mother her and she herself the spring.,0.2381,0.0540
tiny.en,3000-15664-0022,here you strike the old emigrant road which leads over the low divide to the eastern slopes of the mountain,"Here you strike the old immigrant road, which leads over the low divide to the eastern slopes of the mountain.",0.0500,0.0473
tiny.en,2277-149897-0031,he troubled over many little details and talked perfunctorily to everybody,He traveled over many little details and talked prophunctorally to everybody.,0.1818,0.0390
tiny.en,1462-170145-0022,i don't know what i ought to say but i don't believe you'd be happy truly i don't aren't you trying to frighten me,"I don't know what I ought to say, but I don't believe you'd be happy. Truly, I don't. Aren't you trying to frighten me?",0.0000,0.0638
tiny.en,652-130726-0018,both serve good spanish dinners at reasonable prices,Both serve good Spanish dinners at reasonable prices.,0.0000,0.0306
tiny.en,3752-4943-0016,do him good curse him,Do him good. Curse him.,0.0000,0.0308
tiny.en,174-168635-0014,cosette was no longer in rags she was in mourning,Cosette was no longer in rags. She was in mourning.,0.0000,0.0690
tiny.en,3081-166546-0046,been over the ground studied the affair carefully,"been over the ground, studied the affair carefully.",0.0000,0.0312
tiny.en,652-130737-0006,german wines are of lighter character and are generally termed rhein wines,German wines are of lighter character and are generally termed Rhine wines.,0.0833,0.0368
tiny.en,6295-244435-0040,but he saw nothing that moved there no signal lights twinkled,But he saw nothing that moved there. No signal lights twinkled.,0.0000,0.0371
tiny.en,5536-43363-0012,this was only one of his remarkable prophecies,This was only one of his remarkable prophecies.,0.0000,0.0311
tiny.en,5694-64025-0009,we had to pass over the ground where troops had been fighting all day,We had to pass over the ground where troops had been fighting all day.,0.0000,0.0383
tiny.en,3752-4943-0027,must stop that fifty lashes troke,"Must stop that 50 lashes, Troke.",0.1667,0.0300
tiny.en,1272-141231-0008,he was in reverie sliding along the borders of consciousness,He was in reverie sliding out on the borders of consciousness.,0.2000,0.0352
tiny.en,3853-163249-0015,it is terrible and yet glorious,It is terrible and yet glorious.,0.0000,0.0270
tiny.en,174-84280-0010,if we had been brother and sister indeed there was nothing,"If we had been brother and sister, indeed there was nothing.",0.0000,0.0355
tiny.en,3752-4944-0000,captain frere says that the scenery is delightful,Captain Freer says that the scenery is delightful.,0.1250,0.0311
tiny.en,6295-64301-0018,let but a mood be strong enough and the soul clothing itself in that mood as with a garment can walk abroad and haunt the world,"Let but a mood be strong enough. And the soul, clothing itself in that mood is with a garment can walk abroad and haunt the world.",0.0385,0.0638
tiny.en,652-129742-0017,handles of watercress may be attached to these baskets,Handles of watercress may be attached to these baskets.,0.0000,0.0348
tiny.en,1272-135031-0003,the little girl had been asleep but she heard the raps and opened the door,"The little girl had been asleep, but she heard the wraps and opened the door.",0.0667,0.0407
tiny.en,7976-110523-0001,how can we feed our children when we have no more than we can eat ourselves,How can we feed our children when we have no more than we can eat ourselves?,0.0000,0.0402
tiny.en,84-121123-0023,noirtier was near the bed pale motionless and silent as the corpse,"Latte was near the bed, pale, motionless and silent as the corpse.",0.0833,0.0404
tiny.en,1993-147149-0016,but he stayed long there and at last his sturdy frame shook with his strong agony,But he stayed long there and at last his sturdy frame shook with his strong agony,0.0000,0.0393
tiny.en,3576-138058-0040,they were all taken aback and not one of them dared to utter a word such deference did they pay him,"They were all taken aback, and not one of them dared to utter a word, such deference did they pay him?",0.0000,0.0549
tiny.en,2277-149897-0006,then he called harry the boy of all work around the place,"Then he called Harry, the boy of all work around the place.",0.0000,0.0361
tiny.en,2902-9006-0015,the countless treasures which five centuries of rapine had accumulated round the capitol had become the prey of men clothed in sheepskins and horse hide and the sister of an emperor had found her beauty virtue and pride of race worthily matched by those of the hard handed northern hero who led her away from italy as his captive and his bride to found new kingdoms in south france and spain and to drive the newly arrived vandals across the straits of gibraltar into the then blooming coast land of northern africa,"The countless treasures which five centuries of Rappin had accumulated around the capital had become the prey of men clothed in sheep skins and horse-hide. And the sister of an emperor had found her beauty, virtue and pride of race were thely matched by those of the hard-handed northern hero who led her away from Italy as his captive and his bride, to found new kingdoms in South France and Spain, and to drive the newly arrived vandals across the Straits of Gibraltar into the then-blooming coastland of Northern Africa.",0.1630,0.3291
tiny.en,8297-275154-0018,i'm afraid he said,I'm afraid he said.,0.0000,0.0242
tiny.en,6345-93306-0016,let me think he said oh how glad i am that you happened to come this way,"Let me think, he said. Oh, how glad I am that you happened to come this way.",0.0000,0.0485
tiny.en,777-126732-0074,he knows no better he gets into his passions over it,He knows no better. He gets into his passions over it.,0.0000,0.0702
tiny.en,174-50561-0003,the wandering singer approaches them with his lute,The wandering singer approaches them with his lute.,0.0000,0.0527
tiny.en,7850-286674-0006,both lips asked the larvae,Both lips ask the larvae.,0.2000,0.0262
tiny.en,7850-111771-0005,he was now commander of all the federal forces,He was now commander of all the Federal Forces.,0.0000,0.0307
tiny.en,8297-275155-0020,before i consented to answer the child's inquiries i came to an understanding with her mother,"Before I consented to answer the child's inquiries, I came to an understanding with her mother.",0.0000,0.0912
tiny.en,3853-163249-0019,bennet will take the garden and green house off my hands this autumn for a year or longer if i like,Then it will take the garden in the greenhouse off my hands this autumn for a year or longer if I like.,0.2381,0.0481
tiny.en,777-126732-0024,the shadow of his evil gift clung to him yet like the smell of a deadly drug in an old vial of poison emptied now useless ready to be thrown away upon the rubbish heap of things that had served their time,"The shadow of his evil gift clung to him, yet like the smell of a deadly drug in an old vile of poison emptied now. He is useless, ready to be thrown away upon the rubbish heap of things that had served their time.",0.0714,0.1390
tiny.en,5895-34615-0005,gwynplaine was a mountebank,Gwynplane was a mountain bank.,0.7500,0.0370
tiny.en,3081-166546-0031,this is very good of you he began glancing down at the aged detective's bundled up legs and gently pushing a chair towards him,"This is very good of you. He began glancing down at the aged, detectives bundled up legs and gently pushing a chair towards him.",0.0417,0.1350
tiny.en,2035-152373-0014,so slow and patient is the process by which christianity infuses itself into the social life of a converted people,"So, slow in patient is the process by which Christianity it fuses itself into the social life of a converted people.",0.1500,0.0533
tiny.en,6295-244435-0010,the progress of president davis to the new capital set in the very face of the foe was to be one huge triumph of faith and loyalty,The progress of President Davis to the new capital set in the very face of the foe was to be one huge triumph of faith and loyalty.,0.0000,0.0543
tiny.en,6313-76958-0029,pong tell the young gentlemen what would become of you if you were to serve bad meals to this outfit of cowpunchers,"Pong, tell the young gentleman what would become a view if you were to serve bad meals to this outfit of cow punctures.",0.2273,0.0566
tiny.en,6345-64257-0001,at the time mary had noted nothing of these things now she saw them all as for the first time in minute detail while slowly she went up the stair and through the narrowed ways and heard the same wind that raved alike about the new grave and the old house into which latter for all the bales banked against the walls it found many a chink of entrance,"At the time Mary had noted nothing of these things, now she saw them all, as for the first time in minute to tail, while slowly she went up the stair and threw the narrowed ways, and heard the same wind that raved alike about the new grave in the old house, into which latter for all the bales banked against the walls, it found many a-chink of entrance.",0.0870,0.2208
tiny.en,6241-66616-0011,consequently both mother and father began their education at the post they were sent to the factor's school and two winters were passed in port arthur that they might have the advantage of thoroughly equipped schools,"Consequently, both mother and father began their education at the post. They were sent to the factor school, and two winters were passed in Port Arthur, that they might have the advantage of thoroughly equipped schools.",0.0278,0.1891
tiny.en,7976-110124-0011,it is a fearful night to send away a beggar said the eldest sister while they were eating,"It is a fearful night to send away a bigger, said the eldest sister while they were eating.",0.0556,0.0442
tiny.en,2412-153947-0011,i attribute its unlooked for success mainly to two early favourable reviews the first in the pall mall gazette of april twelfth and the second in the spectator of april twentieth,I attribute its unlooked for success mainly to two early favorable reviews. The first in the palm oil gazette of April 12 and the second in the spectator of April 20th.,0.1613,0.0790
tiny.en,2428-83705-0016,there were no signs of faltering about her flow of language,There were no signs of faltering about her flow of language.,0.0000,0.0360
tiny.en,7850-281318-0004,and the poor silly things ruffled up their feathers and looked miserable as only a little bird can look when it is unhappy,And the poor silly things ruffled up their feathers and looked miserable as only a little bird can look when it is unhappy.,0.0000,0.0522
tiny.en,2078-142845-0018,if carried any distance it should be stored away in air tight vessels,"If carried any distance, it should be stored away in airtight vessels.",0.1538,0.0378
tiny.en,5895-34622-0021,then i look perhaps like what i am,Then I look perhaps like what I am.,0.0000,0.0297
tiny.en,84-121550-0031,as soon as ever of my second age i was upon the threshold and changed life himself from me he took and gave to others,"As soon as ever of my second age, I was upon the threshold and changed life himself from me he took and gave to others.",0.0000,0.0535
tiny.en,8297-275154-0005,had her beauty fascinated him,had her beauty fascinated him.,0.0000,0.0260
tiny.en,1988-24833-0015,you're getting altogether too upset about these programs stop it and behave yourself,You're getting altogether too upset about these programs. Stop it and behave yourself.,0.0000,0.0425
tiny.en,3536-23268-0000,sir edward not wholly discouraged by the denial with which dorriforth had with delicacy acquainted him still hoped for a kind reception and was so often at the house of missus horton that lord frederick's jealousy was excited and the tortures he suffered in consequence convinced him beyond a doubt of the sincerity of his affection,"Sir Edward, not wholly discouraged by the denial with which Dora-forth had, with delicacy acquainted him, still hoped for a kind reception, and was so often at the house of Mrs. Horton, that Lord Frederick's jealousy was excited, and the tortures he suffered in consequence convinced him beyond a doubt of the sincerity of his affection.",0.0357,0.2010
tiny.en,6295-64301-0025,a sob like a bird new born burst from mary's bosom,"A sob, like a bird new born, burst from Mary's bosom.",0.0000,0.0381
tiny.en,6319-64726-0018,then the prince took the princess by the hand she was dressed in great splendour but he did not hint that she looked as he had seen pictures of his great grandmother look he thought her all the more charming for that,"Then the prince took the princess by the hand. She was dressed in great splendor, but he did not hint that she looked as he had seen pictures of his great grandmother look. He thought her all the more charming for that.",0.0238,0.1515
tiny.en,7850-286674-0000,a person would think that after a family had lived so long in a place all the neighbors would be fond of them yet it is not so,"A person would think that after a family had lived so long in a place, all the neighbors would be fond of them, yet it is not so.",0.0000,0.0636
tiny.en,1673-143397-0005,a rumor was spread among the christians that the daughter of theon was the only obstacle to the reconciliation of the praefect and the archbishop and that obstacle was speedily removed,"A rumor was spread among the Christians that the daughter of Theon was the only obstacle to the reconciliation of the prefect and the archbishop, and that obstacle was speedily removed.",0.0323,0.0847
tiny.en,2078-142845-0024,seventeen twenty four,1724.,1.0000,0.0332
tiny.en,3000-15664-0004,but it is far better to go afoot,But it is far better to go a foot.,0.2500,0.0659
tiny.en,1673-143396-0018,he acquiesced in the old distinction of the greek philosophers between the rational and sensitive soul of man that he might reserve the logos for intellectual functions and employ the subordinate human principle in the meaner actions of animal life,He acquiesced in the Old distinction of the Greek philosopher as between the rational and sensitive soul of man that he might reserve the logos for intellectual functions and employed the subordinate human principle in the meaner actions of animal life.,0.0750,0.0858
